id,sku,name,status,price,regular_price,categories,short_description,description,vf_segment,vf_product_group,vf_motorbike_line,vf_data_source
57,VF3,"VinFast VF 3",publish,299000000,299000000,"O to dien VinFast","Xe điện nhỏ gọn cho di chuyển trong thành phố, chi phí sở hữu hợp lý và dễ sử dụng mỗi ngày.","Xe điện nhỏ gọn cho di chuyển trong thành phố, chi phí sở hữu hợp lý và dễ sử dụng mỗi ngày.

Sản phẩm demo cho website VinFast local. Giá chưa bao gồm chi phí đăng ký, đăng kiểm và các chi phí lăn bánh.","Mini SUV đô thị",,,
58,VF5,"VinFast VF 5",publish,529000000,529000000,"O to dien VinFast","SUV điện trẻ trung, phù hợp gia đình nhỏ và nhu cầu di chuyển linh hoạt.","SUV điện trẻ trung, phù hợp gia đình nhỏ và nhu cầu di chuyển linh hoạt.

Sản phẩm demo cho website VinFast local. Giá chưa bao gồm chi phí đăng ký, đăng kiểm và các chi phí lăn bánh.","SUV hạng A",,,
59,VF6,"VinFast VF 6",publish,675000000,675000000,"O to dien VinFast","Cân bằng giữa kích thước, công nghệ an toàn và khả năng vận hành điện êm ái.","Cân bằng giữa kích thước, công nghệ an toàn và khả năng vận hành điện êm ái.

Sản phẩm demo cho website VinFast local. Giá chưa bao gồm chi phí đăng ký, đăng kiểm và các chi phí lăn bánh.","SUV hạng B",,,
60,VF7,"VinFast VF 7",publish,850000000,850000000,"O to dien VinFast","Thiết kế thể thao, khoang lái hiện đại và nhiều tính năng hỗ trợ người lái.","Thiết kế thể thao, khoang lái hiện đại và nhiều tính năng hỗ trợ người lái.

Sản phẩm demo cho website VinFast local. Giá chưa bao gồm chi phí đăng ký, đăng kiểm và các chi phí lăn bánh.","SUV hạng C",,,
61,VF8,"VinFast VF 8",publish,1079000000,1079000000,"O to dien VinFast","SUV điện tầm trung cho gia đình, nội thất rộng và khả năng đi đường dài tốt.","SUV điện tầm trung cho gia đình, nội thất rộng và khả năng đi đường dài tốt.

Sản phẩm demo cho website VinFast local. Giá chưa bao gồm chi phí đăng ký, đăng kiểm và các chi phí lăn bánh.","SUV hạng D",,,
62,VF9,"VinFast VF 9",publish,1499000000,1499000000,"O to dien VinFast","SUV điện 7 chỗ cao cấp, tập trung vào không gian, tiện nghi và sự thoải mái.","SUV điện 7 chỗ cao cấp, tập trung vào không gian, tiện nghi và sự thoải mái.

Sản phẩm demo cho website VinFast local. Giá chưa bao gồm chi phí đăng ký, đăng kiểm và các chi phí lăn bánh.","SUV 7 chỗ",,,
63,VFMPV7,"VinFast VF MPV 7",publish,819000000,819000000,"O to dien VinFast","MPV điện 7 chỗ, phù hợp dịch vụ vận chuyển và gia đình cần không gian linh hoạt.","MPV điện 7 chỗ, phù hợp dịch vụ vận chuyển và gia đình cần không gian linh hoạt.

Sản phẩm demo cho website VinFast local. Giá chưa bao gồm chi phí đăng ký, đăng kiểm và các chi phí lăn bánh.","MPV 7 chỗ",,,
111,VFM-AMIO,"Xe máy điện VinFast Amio",publish,13900000,13900000,"Xe máy điện","Màn hình LED color hiện đại, cốp xe rộng rãi và phanh cơ an toàn cho nhu cầu đi học, đi làm hằng ngày.","VinFast Amio là mẫu xe máy điện học sinh có thiết kế gọn, màn hình hiển thị rõ ràng, cốp rộng và vị trí pin dưới sàn để chân giúp tư thế ngồi thoải mái.","Xe máy điện học sinh",xe-may-dien,"Phổ thông",shop.vinfastauto.com/vn_vi/xe-may-dien-vinfast.html
112,VFM-ZGOO,"Xe máy điện VinFast ZGoo",publish,15900000,15900000,"Xe máy điện","Đồng hồ kỹ thuật số HMI LED Color, cốp 14L và đèn pha LED Projector hỗ trợ di chuyển an toàn.","VinFast ZGoo phù hợp học sinh và người dùng đô thị với cốp rộng, sàn để chân thoáng và hệ thống giảm xóc thủy lực cho cảm giác đi êm.","Xe máy điện học sinh",xe-may-dien,"Phổ thông",shop.vinfastauto.com/vn_vi/xe-may-dien-vinfast.html
113,VFM-FLAZZ,"Xe máy điện VinFast FLazz",publish,16900000,16900000,"Xe máy điện","Thiết kế trẻ trung, màn hình HMI LED Color, cốp rộng 14L và đèn pha LED Projector.","VinFast FLazz là lựa chọn xe máy điện phổ thông với khả năng vận hành êm, sàn để chân rộng và hệ thống giảm xóc hỗ trợ nhiều địa hình.","Xe máy điện học sinh",xe-may-dien,"Phổ thông",shop.vinfastauto.com/vn_vi/xe-may-dien-vinfast.html
